eog,emg
58,-20
63,-36
62,-16
54,9
40,28
18,10
-6,15
-20,42
-18,-9
-10,-25
4,14
23,19
42,40
69,-5
89,-84
82,-16
59,54
42,45
32,23
30,-39
31,-39
32,1
40,-23
50,-20
50,8
41,-6
29,-5
21,33
13,51
3,26
-1,-28
3,-40
-1,-8
-12,-14
-13,-32
3,-15
20,27
25,72
19,77
14,34
13,-27
7,-100
0,-105
1,-19
6,59
4,71
-3,31
-11,-7
-10,-25
1,-40
14,-24
17,19
13,38
6,21
-6,8
-15,15
-9,-4
0,-60
-3,-38
-14,48
-21,34
-26,-9
-25,-24
-19,-5
-17,45
-18,-4
-20,-39
-22,11
-23,8
-20,-7
-19,-17
-14,-16
-3,17
5,0
6,1
4,23
5,9
3,-8
-1,-27
-1,-10
-3,2
-8,-5
-8,26
-7,46
-14,17
-26,-33
-30,-43
-25,-3
-18,16
-14,-13
-15,-7
-17,35
-17,23
-16,-2
-12,-8
-10,-7
-16,-9
-17,-25
-9,-31
4,-5
12,40
10,31
4,-12
3,-48
5,-57
6,9
6,52
6,26
5,25
6,33
4,23
-6,5
-15,-37
-16,-64
-9,-39
-3,21
-6,75
-19,41
-26,-14
-16,-33
5,-45
18,6
12,50
-3,19
-8,-14
-4,-25
0,-28
4,-41
8,-53
12,15
14,101
14,63
15,-56
19,-97
30,16
44,86
47,43
36,6
18,-31
-4,-49
-22,-36
-18,0
-9,51
-22,53
-47,-8
-50,-43
-26,-42
-4,-14
6,60
18,46
23,-35
4,-48
-24,-13
-36,44
-17,8
25,-60
57,29
57,45
31,-37
-1,32
-25,69
-25,-3
-5,-42
17,-47
29,-20
24,6
10,6
13,37
28,58
28,-1
20,-73
22,-55
33,-16
33,-23
16,32
-1,72
-17,5
-33,-48
-62,-34
-104,19
-113,61
-65,16
9,-61
77,-44
95,38
42,67
-23,18
-45,-5
-35,-9
-23,-58
0,-31
32,66
45,68
41,10
15,-65
-28,-81
-50,27
-44,46
-38,-30
-40,-39
-24,-18
25,19
67,52
49,36
-3,15
-25,-10
-4,-35
28,-25
16,-12
-16,12
5,21
35,-23
-9,-37
-93,-14
-113,18
-46,36
40,9
68,-9
15,4
-63,12
-104,11
-104,6
-70,-1
4,-11
61,-14
24,-7
-58,-2
-80,4
-41,19
-31,6
-50,-34
-35,-22
-8,-36
3,-40
-23,60
-69,93
-44,57
8,2
2,-64
-17,-24
-26,8
-55,-27
-74,-28
-51,-29
-14,-43
-14,24
-36,101
4,28
75,-33
71,-5
30,8
47,16
101,-25
113,-63
58,-1
-10,62
-53,63
-93,36
-129,-4
-111,-41
-53,-59
-22,-64
-48,-36
-60,29
11,51
52,12
-10,-16
-30,1
46,31
68,12
2,-45
1,-37
75,38
103,78
68,57
24,-4
-4,-42
-11,-41
-1,-59
9,-23
-1,24
-30,-32
-57,-24
-82,55
-108,67
-99,14
-51,-36
-6,-10
26,9
40,-30
22,-33
3,22
19,42
46,1
57,-20
49,-3
29,23
14,18
11,-19
15,-40
19,-26
20,-2
12,27
-5,45
-15,17
0,-28
21,-43
18,-44
-13,28
-59,74
-75,15
-36,7
13,1
40,-46
49,-18
55,40
54,36
38,17
16,-17
3,-39
1,3
6,7
14,-25
22,-23
29,-26
37,-5
44,41
44,17
32,-39
18,-17
11,36
12,41
16,-19
12,-35
-7,17
-26,36
-20,20
7,-20
27,-51
29,-23
22,15
13,34
7,40
3,11
-2,-13
-2,-13
9,-28
25,-33
33,14
35,34
45,22
46,32
33,-8
26,-55
37,-36
47,2
32,32
10,20
11,-17
27,-26
33,-1
26,24
14,15
9,10
12,3
20,-15
33,-4
31,-10
16,-18
9,25
11,44
17,-5
23,-43
23,-32
23,-14
25,28
20,30
13,-20
20,-2
36,19
44,-6
42,10
38,22
35,11
28,-19
17,-90
10,-44
18,86
31,95
37,13
32,-49
19,-51
10,-21
14,3
11,23
-8,38
-21,25
-19,-10
-8,-22
4,-10
9,1
9,10
13,-1
11,-15
1,-25
-4,-41
