eog,emg
-7,6
-13,-4
-17,-11
-17,0
-17,4
-16,-6
-11,-5
-8,5
-11,5
-15,8
-14,19
-13,15
-13,5
-11,-7
-8,-17
-7,-3
-8,8
-8,-5
-8,-14
-7,-11
-4,-2
0,1
2,-1
2,1
1,4
-1,3
-1,3
-2,8
-6,7
-11,0
-10,-1
-5,4
-1,5
3,-1
4,-6
3,-3
4,3
7,1
3,-3
-2,-7
-3,-13
-1,-12
1,-3
3,5
4,8
4,5
3,2
4,2
3,6
-2,5
-5,7
-2,13
3,11
4,4
3,-3
1,-6
1,-6
-1,-14
-3,-13
-5,-3
-4,-3
-2,-5
1,-3
2,1
-1,-3
-4,-7
-3,-1
1,9
0,15
-6,5
-10,-6
-10,-7
-8,-5
-5,3
-4,6
-3,9
-1,20
1,19
2,1
1,-13
-1,-15
-3,-10
-5,-5
-5,0
-4,0
-1,0
3,-2
5,1
4,6
5,2
5,-3
1,-1
-2,4
0,5
4,-8
5,-11
4,-4
1,-4
-3,8
-4,13
-4,13
-1,10
4,-13
8,-14
9,1
6,1
5,7
5,15
5,12
6,6
10,1
9,-4
5,-13
4,-12
3,0
2,12
3,10
4,-12
1,-15
-2,1
2,7
4,5
1,-3
1,-3
4,5
4,2
2,-9
-1,-12
-4,-8
-6,-14
-2,-17
3,-10
4,-1
0,11
-3,9
-5,2
-4,2
-3,2
-3,3
-2,6
-1,9
-3,11
-1,5
3,-5
4,-13
1,-3
2,13
5,11
5,5
2,-1
1,-6
3,-7
9,-8
13,-6
9,-2
2,10
-1,14
-3,4
-9,-3
-13,-10
-14,-11
-10,-11
-4,-12
1,-3
0,-2
-5,0
-6,6
-5,11
-4,15
-4,10
-3,10
-4,10
-5,3
-1,-2
3,-12
0,-13
-5,-2
-7,1
-7,-5
-8,-12
-11,-9
-16,-3
-19,-7
-18,-3
-17,8
-16,14
-14,21
-14,12
-16,-7
-18,-9
-15,0
-15,10
-17,16
-16,8
-10,-11
-5,-14
1,-12
0,-13
-7,-11
-15,-8
-17,0
-16,6
-14,-1
-12,2
-10,15
-12,17
-15,9
-14,3
-11,2
-11,1
-15,0
-21,-4
-24,-11
-23,-10
-20,-2
-21,1
-21,1
-20,2
-18,0
-14,-10
-12,-21
-14,-22
-18,-3
-23,16
-27,13
-28,13
-25,18
-22,21
-20,13
-17,-5
-12,-3
-8,0
-7,-9
-9,-7
-15,-8
-22,-4
-24,-2
-19,-11
-14,-8
-12,-7
-13,-10
-15,-6
-17,4
-20,13
-24,4
-23,2
-18,13
-15,3
-16,-10
-17,-5
-15,7
-11,20
-8,11
-9,-8
-11,-6
-12,2
-11,-6
-9,-9
-10,-3
-13,-4
-17,15
-21,23
-22,-4
-19,-16
-16,-17
-16,-8
-12,7
-7,-4
-11,-5
-20,8
-23,10
-21,12
-17,10
-17,12
-17,12
-16,-6
-11,-21
-9,-24
-12,-13
-15,6
-13,10
-12,8
-11,8
-8,-1
-7,-8
-11,4
-14,10
-16,6
-17,-3
-17,-14
-17,-8
-19,-3
-20,-11
-19,-6
-16,4
-16,9
-17,11
-16,7
-16,4
-17,5
-16,8
-13,3
-13,-8
-12,-1
-10,9
-11,1
-13,3
-11,6
-9,2
-8,-16
-6,-35
-5,-24
-2,3
6,13
14,3
10,0
0,5
-5,-3
-7,-8
-7,1
-4,10
-2,7
-2,-7
-1,-18
1,-9
2,15
3,20
4,13
1,13
-4,16
-7,22
-8,19
-8,5
-5,0
-3,-8
-3,-20
-4,-17
-3,-6
-6,-1
-12,-7
-12,-6
-5,4
2,-1
5,-10
0,-21
-8,-23
-12,-5
-13,2
-14,-8
-12,-10
-9,-3
-9,0
-10,4
-7,0
-7,1
-9,21
-7,24
-4,13
-4,7
-5,4
-5,12
-6,23
-6,23
-5,19
-3,0
-4,-14
-3,-12
-3,-10
-6,-6
-8,-11
-4,-15
-1,-13
-2,-17
-1,-22
1,-18
1,-9
-1,3
-1,9
-2,5
-4,-2
-4,0
-2,4
1,1
1,-4
-3,2
-8,7
-10,5
-11,4
-10,5
-7,7
-3,6
-2,-9
-2,-15
1,3
6,12
9,14
14,17
18,4
16,-3
12,3
10,7
5,0
-1,-10
-1,-9
4,-3
6,3
4,1
3,-9
3,-4
5,4
6,7
2,6
-4,-3
-2,-4
3,2
4,1
5,5
7,21
9,32
10,24
12,7
11,-5
10,-19
11,-21
11,-19
9,-30
8,-32
8,-20
7,-6
6,-1
4,-3
2,2
5,9
14,12
19,14
19,15
19,10
22,-3
22,5
19,18
14,11
9,-1
6,-4
6,0
3,-9
0,-23
1,-11
4,-1
0,-1
-6,13
-5,16
-1,-3
2,-12
3,-11
5,0
8,6
12,-10
13,-12
11,11
11,21
11,13
9,9
9,2
12,2
13,9
11,10
10,9
10,1
12,-5
14,-11
18,-19
23,-20
25,-11
21,-3
13,-5
5,0
5,11
8,10
9,0
12,-7
16,-4
19,-1
20,-9
19,-4
16,6
13,7
13,3
14,3
13,8
10,2
9,-6
10,-15
11,-23
11,-6
9,8
11,11
17,11
21,7
19,16
17,24
17,19
17,13
16,5
16,-3
14,-12
11,-17
10,-13
11,-12
13,-10
15,-9
16,-14
17,-13
16,-6
13,3
13,15
19,15
28,8
28,-1
25,-6
26,-5
31,-5
31,-6
25,2
20,5
18,-4
16,-10
19,3
25,12
29,11
29,8
26,1
23,-4
20,-10
16,-7
15,0
17,6
20,19
20,18
18,5
20,-3
26,1
30,0
29,-13
29,-16
32,-20
33,-23
31,-12
26,-1
21,11
18,10
16,-1
17,-1
22,9
29,17
32,10
28,-6
24,-14
23,-9
25,3
29,7
33,14
36,25
39,20
43,4
44,-6
38,-6
33,-6
32,-8
32,-12
29,-18
26,-5
24,11
23,8
21,9
18,10
16,7
19,1
21,-20
21,-28
23,-15
28,-5
29,4
27,8
25,6
25,4
27,-3
28,-3
30,5
31,15
30,19
27,5
26,-3
25,2
23,11
24,7
29,-11
34,-16
34,-15
34,-15
37,-11
40,4
39,14
36,10
36,7
35,4
29,0
27,-6
29,-13
30,-8
30,0
31,-7
33,-5
34,3
35,1
36,3
36,4
34,-2
30,-2
28,2
31,8
32,9
27,1
25,-4
24,3
21,8
21,4
26,-2
29,-2
28,-3
32,-7
40,-12
41,-17
37,-13
31,0
23,8
15,13
13,12
16,1
17,0
16,6
17,7
20,5
18,-6
18,-7
21,-2
23,2
23,9
19,0
15,-7
14,-1
12,7
7,14
6,10
10,4
14,3
14,-2
