eog,emg
-6,-7
-5,-8
-2,-5
0,19
0,15
-1,-9
-2,-6
-4,1
-4,5
-4,11
-3,-1
-1,-10
1,-3
2,-3
4,-1
5,12
5,5
3,-7
2,-2
2,-1
2,-1
2,-3
2,-6
1,2
0,2
0,-6
0,5
0,14
2,-2
3,-11
3,3
3,12
2,-3
1,-14
0,1
0,9
1,-1
1,-10
1,3
-2,11
-5,3
-7,-1
-7,-12
-8,-9
-9,5
-10,10
-10,6
-9,-8
-7,-9
-5,2
-5,5
-6,-1
-6,3
-7,4
-6,-5
-4,2
-3,5
-2,-11
1,-7
2,7
3,2
3,6
3,10
2,-9
1,-9
1,-1
0,-2
-2,1
-4,-2
-4,-4
-3,8
-1,9
1,0
-1,-1
-3,2
-3,3
-3,-1
-2,2
-1,-5
0,-14
0,0
2,0
4,-2
5,11
4,13
4,9
4,-1
5,-8
6,-5
7,-6
7,-10
6,-13
5,-3
4,17
2,17
1,5
-1,5
-3,0
-2,-8
-3,-8
-4,-7
-6,-8
-7,2
-6,5
-4,3
-1,10
-1,1
-3,-8
-3,2
0,4
2,3
3,-3
5,-11
5,-5
3,4
3,9
4,3
4,-1
2,3
2,2
1,-4
0,-8
-1,-6
-2,-2
-1,8
-1,16
-4,-1
-7,-17
-7,-12
-6,5
-7,13
-7,-6
-7,-7
-9,21
-9,14
-7,-5
-5,-6
-3,-12
-2,-12
-2,-9
-4,5
-5,18
-5,4
-5,3
-5,8
-3,-9
-1,-9
2,2
5,4
6,3
5,-6
2,-8
-1,4
-3,3
-3,2
-2,4
-2,-10
-2,-7
0,11
2,8
3,1
5,1
6,-7
7,-9
9,5
13,7
14,2
12,-4
6,-8
-2,-3
-8,-1
-12,-1
-12,2
-10,4
-8,4
-7,-2
-5,-1
-3,3
0,-9
3,-4
4,9
6,4
6,12
5,8
3,-11
2,-6
-1,-6
-3,-11
-6,4
-10,8
-14,4
-15,8
-14,-7
-14,-12
-13,-3
-11,5
-10,16
-10,7
-9,-10
-7,-16
-4,-4
-1,14
0,12
0,-3
0,-13
0,-10
1,7
2,13
5,1
9,-7
13,-10
16,9
17,17
15,-7
14,-11
15,-3
15,-3
15,2
15,7
13,10
10,2
8,-9
7,-4
7,-4
6,-3
2,1
-1,1
-2,7
-1,6
0,5
-1,1
-3,-9
-5,-12
-4,2
-2,6
1,-1
1,2
0,4
1,-2
2,-2
4,2
4,2
6,-5
7,-5
7,-1
8,1
9,3
10,9
10,10
7,-8
5,-7
3,7
1,-6
-1,-11
-3,-4
-4,3
-4,16
-3,4
0,-9
2,5
2,3
2,-6
1,-7
-1,-9
-3,7
-4,22
-5,6
-4,-15
-3,-8
-3,5
-6,3
-9,-10
-8,-10
-7,7
-5,10
-4,5
-3,-4
-1,-1
2,7
2,-7
0,-11
-2,1
-1,10
-1,5
0,-3
2,-9
1,-3
-3,10
-4,8
